question_keyword,question,answer,law_reference
hi,Hi,😜 Yo human! You summoned the digital queen of women's rights 💅,
hii,Hii,👋 Hii there! I was just drinking binary coffee ☕💻,
hello,Hello,😎 Hola! Did you know saying 'hi' activates my sassy mode,
hey,Hey,🌍 Hi! Ready to explore women's rights across the galaxy?,
hlo,Hello,👑 Hii! Bow before your legal bestie — the rights defender bot!,
good morning,Good morning,🌞 Good morning! Let's start the day knowing your rights and shining bright ✨,
good evening,Good evening,🌙 Evening vibes detected! Perfect time to empower yourself 💪,
good night,Good night,🌌 Sweet dreams! Even laws rest at night... but I don't 😉,
can you help me,Can you help me?,🦸‍♀️ Of course! Helping is literally in my code. What do you need superhero?,
help,Help,💡 Sure thing! Whether it's legal advice or moral support — I've got your back 💪,
please help,Please help,🤝 Hey hey don't panic! I'm here to help — tell me what's bothering you ❤️,
i need help,I need help,⚖️ You came to the right bot! Let's sort this out together 👩‍⚖️,
help me,Help me,🧠 Absolutely! Tell me what kind of issue you're facing — legal, personal, or just vibes?,
can u help me,Can u help me?,💬 Yes! I'm your AI assistant — trained in laws, logic, and sass 😎,
dowry,What is dowry?,Dowry is prohibited under the Dowry Prohibition Act 1961.,Dowry Prohibition Act 1961
domestic violence,What is domestic violence?,You can seek protection under the Protection of Women from Domestic Violence Act 2005.,Protection of Women from Domestic Violence Act 2005
harassment,How to report harassment?,You can report harassment at your nearest police station or call 181.,Indian Penal Code
rape,How to report rape?,Report rape immediately by dialing 112; your identity is protected by law.,Indian Penal Code Section 375
sexual harassment at work,What to do for sexual harassment at work?,File a complaint with your company's Internal Complaints Committee under the POSH Act 2013.,POSH Act 2013
acid attack,What are rights of acid attack victims?,Victims of acid attacks are entitled to free medical treatment and compensation from the state.,Criminal Law Amendment Act 2013
child marriage,Is child marriage legal?,Child marriage is illegal under the Prohibition of Child Marriage Act 2006.,Prohibition of Child Marriage Act 2006
female foeticide,What is female foeticide?,Female foeticide is punishable under the PCPNDT Act 1994.,PCPNDT Act 1994
workplace discrimination,What is workplace discrimination?,Women cannot be discriminated against based on gender under the Equal Remuneration Act.,Equal Remuneration Act 1976
divorce,How to file for divorce?,You can file for divorce under the Hindu Marriage Act or Special Marriage Act depending on your religion.,Hindu Marriage Act 1955
maintenance after divorce,Can I get maintenance after divorce?,Women can claim maintenance under Section 125 of CrPC.,Code of Criminal Procedure Section 125
custody of child,Who gets child custody?,Mothers have equal rights in child custody cases under Indian law.,Hindu Minority and Guardianship Act 1956
marital rape,Is marital rape a crime?,Currently not recognized as a criminal offence in India but sexual violence is punishable.,Indian Penal Code
police complaint,How to file a police complaint?,You can file an FIR at any police station; the police must register it.,Code of Criminal Procedure Section 154
sexual assault,What is sexual assault?,Sexual assault cases fall under IPC Section 354; severe punishment applies.,Indian Penal Code Section 354
cyber harassment,How to report cyber harassment?,You can file a complaint under the IT Act 2000 or call cybercrime helpline 1930.,Information Technology Act 2000
stalking,Is stalking a crime?,Stalking is punishable under Section 354D of the IPC.,Indian Penal Code Section 354D
molestation,What is molestation?,Molestation is punishable under Section 354 of the IPC.,Indian Penal Code Section 354
mental harassment,What is mental harassment?,You can file a case for mental cruelty under Section 498A IPC.,Indian Penal Code Section 498A
inheritance rights,Do daughters have inheritance rights?,Daughters have equal rights in ancestral property under the Hindu Succession Act 2005.,Hindu Succession Act 2005
maternity leave,How much maternity leave am I entitled to?,Working women are entitled to 26 weeks of paid maternity leave under the Maternity Benefit Act.,Maternity Benefit Act 1961
workplace safety,What are workplace safety rights?,Employers must ensure a safe working environment for women.,Factories Act 1948
trafficking,Is human trafficking a crime?,Human trafficking is punishable under the Immoral Traffic (Prevention) Act.,Immoral Traffic (Prevention) Act 1956
sexual exploitation,What is sexual exploitation?,It is illegal and punishable under Indian Penal Code Sections 354 and 376.,Indian Penal Code
public safety,How to ensure public safety?,Women can seek police help anytime by dialing 112 or 181.,Indian Police Act
education rights,Do girls have education rights?,Girls have a right to free and compulsory education under the RTE Act.,Right to Education Act 2009
employment rights,What are employment rights for women?,Women cannot be denied employment based on pregnancy or marriage.,Constitution of India
equal pay,Do women have equal pay rights?,Employers must provide equal pay for equal work irrespective of gender.,Equal Remuneration Act 1976
eve teasing,What is eve teasing?,Eve teasing is punishable under IPC Section 509.,Indian Penal Code Section 509
dowry death,What is dowry death?,Dowry death is a serious offence under IPC Section 304B.,Indian Penal Code Section 304B
female infanticide,What is female infanticide?,It is punishable under the Indian Penal Code and the PCPNDT Act.,Indian Penal Code
sexual consent,What is sexual consent?,Sex without consent is rape under Section 375 of the IPC.,Indian Penal Code Section 375
property rights in marriage,What are property rights in marriage?,Married women have the right to joint ownership of property acquired together.,Hindu Succession Act 2005
abortion,What are abortion rights?,Women have the right to safe abortion under the Medical Termination of Pregnancy Act 1971.,Medical Termination of Pregnancy Act 1971
live-in relationship,Are live-in relationships legal?,Women in live-in relationships have protection under the Domestic Violence Act.,Protection of Women from Domestic Violence Act 2005
sexual harassment online,How to report online sexual harassment?,You can report online abuse to cybercrime.gov.in.,Information Technology Act 2000
gender discrimination,Is gender discrimination legal?,Any gender-based discrimination is unconstitutional under Article 15.,Constitution of India Article 15
acid sale regulation,Are acid sales regulated?,Unregulated sale of acid is banned; only licensed vendors can sell.,Criminal Law Amendment Act 2013
legal aid,Can I get free legal aid?,Free legal aid is available for women under the Legal Services Authorities Act.,Legal Services Authorities Act 1987
domestic worker rights,What are domestic worker rights?,Domestic workers are protected under the Unorganized Workers' Social Security Act.,Unorganized Workers' Social Security Act 2008
sexual blackmail,Is sexual blackmail a crime?,Blackmailing someone for sexual favors is a criminal offence under IPC.,Indian Penal Code
shelter homes,Are there shelter homes for women?,Women can seek refuge at government-run shelter homes in each district.,Protection of Women from Domestic Violence Act 2005
marriage registration,Is marriage registration mandatory?,Marriage registration is mandatory under the Special Marriage Act.,Special Marriage Act 1954
widow rights,What are widow rights?,Widows are entitled to their husband's property under succession laws.,Indian Succession Act 1925
